,file_id,genus,species,name,download_url,file_name,duration,other_species_in_recording,quality
19,167252,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/167252/download,XC167252-Crypturellus cinereus_Machadinho_1026.mp3,38,,A
20,143922,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/143922/download,XC143922-1189.mp3,91,"Conioptilon mcilhennyi, Piculus chrysochloros, Xiphorhynchus guttatus",A
21,85038,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/85038/download,CRYCIN21.mp3,23,,A
22,85037,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/85037/download,CRYCIN18.mp3,32,,A
23,85036,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/85036/download,CRYCIN15.mp3,48,"Cercomacra cinerascens, Patagioenas plumbea",A
24,85035,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/85035/download,CRYCIN10.mp3,27,,A
25,85034,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/85034/download,CRYCIN08.mp3,37,"Attila spadiceus, Xiphorhynchus guttatus",A
26,47907,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/47907/download,Cinereous Tinamou2009-9-15-1.mp3,56,,A
27,9904,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/9904/download,BD_2004-04-05_Crypturellus_cinereus2.mp3,59,"Hypocnemis striata, Hylophylax punctulatus, Grallaria varia, Celeus torquatus",A
28,506369,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/506369/download,XC506369-05-10-2019 17e46 Tururim2 (Crypturellus soui-OK-OK).mp3,35,Crypturellus undulatus,A
29,493436,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/493436/download,XC493436-14-07-‎2019  ‏‎5e53 TURURIM e bacurau.mp3,5,,A
30,469140,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/469140/download,XC469140-Crypturellus soui_Carajas_1008.mp3,76,,A
31,413837,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/413837/download,XC413837-Tururim3 (Crypturellus soui-OK).mp3,23,Myiopagis gaimardii,A
32,412497,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/412497/download,XC412497-Tururim2 02-03-2018 7hs (Crypturellus soui).mp3,36,,A
33,412494,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/412494/download,XC412494-Tururim (Crypturellus soui-OK-OK).mp3,89,,A
34,377292,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/377292/download,XC377292-Crypturellus_soui_cf_Desconhecido_3_M5_P4_Faz_Araçatuba_Lambaridoeste_MT (2).mp3,41,,A
35,377192,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/377192/download,XC377192-Crypturellus_soui_17_Jun_2017_Ferreira_Gomes_AP_RSS.mp3,60,,A
36,370827,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/370827/download,XC370827-170421_003 - TURURIN.MP3,28,,A
37,333320,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/333320/download,XC333320-CRYSOU36.mp3,32,,A
38,325619,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/325619/download,XC325619-413 Crypturellus soui(song)AVCTaquaraBA100512.mp3,30,,A
39,266350,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/266350/download,XC266350-Crypturellus_soui_(Little_Tinamou)e.p.05.07.11.mp3,51,,A
40,221887,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/221887/download,XC221887-Little Tinamou A 115.mp3,32,,A
41,217698,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/217698/download,XC217698-CRYSOU12.mp3,29,,A
42,217697,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/217697/download,XC217697-CRYSOU15.mp3,80,,A
43,217696,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/217696/download,XC217696-CRYSOU14.mp3,12,,A
44,171120,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/171120/download,"XC171120-Crypturellus soui, ZF2, Manaus-AM, 2013.mp3",12,,A
45,171048,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/171048/download,"XC171048-Crypturellus soui, ZF2, Manaus-AM, 2013.mp3",12,,A
46,127107,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/127107/download,XC127107-tururim ARACRUZ-ES.mp3,9,,A
47,87386,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/87386/download,Crypturellus soui_MataSaoJoao.mp3,4,,A
48,85052,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/85052/download,CRYSOU26.mp3,34,Tyrannulus elatus,A
49,85051,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/85051/download,CRYSOU21.mp3,42,,A
50,85050,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/85050/download,CRYSOU18.mp3,69,"Trogon surrucura, Todirostrum poliocephalum, Piprites chloris, Contopus cinereus, Colonia colonus",A
51,85049,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/85049/download,CRYSOU13.mp3,23,Todirostrum cinereum,A
52,20908,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/20908/download,C. soui1063.mp3,63,,A
53,5427,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/5427/download,Little_Tinamou_Hoyer.mp3,19,Pheugopedius genibarbis,A
54,1483,Crypturellus,soui,Little Tinamou,https://www.xeno-canto.org/1483/download,litinamou.mp3,27,,A
55,494959,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/494959/download,XC494959-C. obsoletus_mp3.mp3,43,,A
56,424637,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/424637/download,XC424637-Crypturellus obsoletus.mp3,50,,A
57,414933,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/414933/download,XC414933-Inhambu chinta XENO (Crypturellus tataupa)22-09-17 6e22.mp3,3,,A
58,414872,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/414872/download,XC414872-Inhambuguacu XENO (CUR.mp3,3,,A
59,348637,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/348637/download,XC348637-Crypturellus obsoletus.mp3,107,"Chamaeza meruloides, Patagioenas plumbea, Basileuterus culicivorus, Saltator similis, Attila rufus, Schiffornis virescens, Tinamus solitarius",A
60,344287,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/344287/download,XC344287-Crypturellus obsoletus.mp3,46,Crypturellus tataupa,A
61,341011,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/341011/download,XC341011-Inhambuguaçu.mp3,3,,A
62,337077,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/337077/download,XC337077-1191_02.mp3,100,"Schiffornis virescens, Caryothraustes canadensis",A
63,337076,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/337076/download,XC337076-1191_01.mp3,59,,A
64,288347,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/288347/download,XC288347-CLest4_5_Cobso.mp3,40,,A
65,221859,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/221859/download,XC221859-Brown Tinamou A 138.mp3,25,,A
66,221858,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/221858/download,XC221858-Brown Tinamou A 135.mp3,53,,A
67,217866,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/217866/download,XC217866-CRYOBS15.mp3,13,"Vireo chivi, Xiphorhynchus fuscus, Myiothlypis leucoblephara",A
68,217865,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/217865/download,XC217865-CRYOBS29.mp3,41,,A
69,192674,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/192674/download,"XC192674-Crypturellus obsoletus (Bal. Camboriú, 19.08.14).mp3",9,,A
70,189613,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/189613/download,XC189613-Crypturellus obsoletus 1.mp3,95,,A
71,189513,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/189513/download,XC189513-LGM-043.mp3,46,"Chiroxiphia caudata, Sporophila frontalis, Herpsilochmus atricapillus, Lepidocolaptes squamatus, Basileuterus culicivorus",A
72,178593,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/178593/download,XC178593-C-obsoletus-JF-PD-04-05-2014-07h15min+5dB.mp3,6,,A
73,171118,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/171118/download,XC171118-Crypturellus_obsoletus_BrunoLima_Guaraú_2013.mp3,41,,A
74,164486,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/164486/download,XC164486-C obsoletus canto.mp3,24,,A
75,145686,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/145686/download,XC145686-Crypturellus obsoletus-Picinguaba-SP-Brazil-10-91-ASilveira.mp3,22,,A
76,115085,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/115085/download,XC115085-Crypturellus_obsoletus-JF.mp3,6,Saltator fuliginosus,A
77,115082,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/115082/download,XC115082-inhambuguaçu2.mp3,46,,A
78,113190,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/113190/download,XC113190-12112003'.mp3,71,"Myiothlypis leucoblephara, Tinamus solitarius",A
79,109180,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/109180/download,Crypturellus-obsoletus-Picinguaba-SP-Brazil-10-91-ASilveira.mp3,22,,A
80,85856,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/85856/download,0617_083601_c_obsoletus.mp3,157,,A
81,85046,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/85046/download,CRYOBS24.mp3,15,Cacicus chrysopterus,A
82,85044,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/85044/download,CRYOBS21.mp3,47,Selenidera maculirostris,A
83,85043,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/85043/download,CRYOBS13.mp3,109,"Chiroxiphia caudata, Schiffornis virescens",A
84,58529,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/58529/download,Crypturellus obsoletus (PEMG).mp3,21,,A
85,45557,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/45557/download,Crypturellus obsoletus_Trilha Tres Picos_PN Itatiaia_Rio de Janeiro_Brasil_22FEB04_Bernabe Lopez-Lanus.mp3,23,,A
86,41953,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/41953/download,Crypturelus obsoletus_Poco Verde_PARNA das Araucarias_Passos Maia_SC_22-05-2009 (2).mp3,53,,A
87,41872,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/41872/download,Crypturellus obsoletus_Faz. Santa Rita_PNSI_Indaial_SC_22-10-2009.mp3,82,,A
88,27557,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/27557/download,Crypturellus_obsoletus_areaF_ME_Teles_Pires.mp3,44,,A
89,24497,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/24497/download,Crypturellus obsoletus_REBIO SASSAFRAS_Doutor Pedrinho_SC_05-VI-2008.mp3,13,,A
90,22521,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/22521/download,Crypturellus obsoletus - PNIBr080215_0702 + B. ruficapillus.mp3,22,Baryphthengus ruficapillus,A
91,13034,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/13034/download,Crypturellus obsoletus.mp3,50,"Procnias nudicollis, Tangara seledon, Turdus albicollis, Orthogonys chloricterus",A
92,1407,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/1407/download,brtina.mp3,44,,A
93,518786,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/518786/download,XC518786-Jao (Crypturellus undulatus-OK) 17-12-2019 7e4.mp3,78,"Cyclarhis gujanensis, Herpsilochmus atricapillus, Xiphorhynchus guttatus",A
94,506366,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/506366/download,XC506366-05-10-2019 11e15 Jao (Crypturellus undulatus-OK).mp3,12,,A
95,474817,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/474817/download,XC474817-Crypturellus undulatus_Chandless_1092.mp3,59,,A
96,461820,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/461820/download,XC461820-Crypturellus undulatus_Maraca_1314.mp3,62,,A
97,440942,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/440942/download,XC440942-Jao (Crypturellus undulatus-OK-OK) 27-10-18 17e45.mp3,36,,A
98,437663,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/437663/download,XC437663-Jao2 (Crypturellus undulatus-OK)  3-10-18 17e51.mp3,24,Automolus leucophthalmus,A
99,437655,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/437655/download,XC437655-Jao1 (Crypturellus undulatus-OK) 3-10-2018 6e20.mp3,28,,A
100,416474,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/416474/download,XC416474-Jao3 (Crypturellus undulatus-OK-OK) 20 6e41.mp3,20,Herpsilochmus atricapillus,A
101,415430,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/415430/download,XC415430-Jao3 (Crypturellus undulatus-OK-OK).mp3,13,,A
102,415429,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/415429/download,XC415429-Jao (Crypturellus undulatus-OK-OK).mp3,4,,A
103,384421,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/384421/download,XC384421-170820 UNTI 25' PJofre 0830 mp3 amp.mp3,84,,A
104,358831,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/358831/download,XC358831-recording-20160802-062507 Jaó.mp3,42,,A
105,342846,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/342846/download,XC342846-CRYUND24.mp3,57,,A
106,342845,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/342845/download,XC342845-CRYUND20.mp3,57,,A
107,314321,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/314321/download,XC314321-Crypturellus undulatus-Vazante-KKS-27-07-2015_06h00.MP3,26,,A
108,299039,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/299039/download,XC299039-117 Crypturellus undulatus (song)VerdeMar_RibasPardoMS140912.mp3,48,,A
109,221929,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/221929/download,XC221929-Undulated Tinamou A 152.mp3,36,,A
110,217872,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/217872/download,XC217872-CRYUND23.mp3,98,,A
111,217870,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/217870/download,XC217870-CRYUND08.mp3,98,,A
112,217867,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/217867/download,XC217867-CRYUND01.mp3,45,,A
113,150263,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/150263/download,XC150263-portojofre_23.09.2013_Crypturellus undulatus.mp3,300,,A
114,124623,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/124623/download,XC124623-20110902-1704-1091-BR-MG-Pantanal Wildlife Center-Undulated Tinamou_song.mp3,139,"Patagioenas picazuro, Hemitriccus margaritaceiventer",A
115,113465,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/113465/download,XC113465-C undulatus.mp3,49,,A
116,85065,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/85065/download,CRYUND19.mp3,48,"Crypturellus parvirostris, Dryocopus lineatus, Campylorhamphus trochilirostris, Hylophilus pectoralis, Cyanocorax cyanomelas",A
117,85064,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/85064/download,CRYUND18.mp3,36,Veniliornis passerinus,A
118,85063,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/85063/download,CRYUND12.mp3,35,Taraba major,A
119,85062,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/85062/download,CRYUND10.mp3,39,,A
120,85059,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/85059/download,CRYUND01.mp3,38,,A
121,493147,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/493147/download,XC493147-18-7-2019 6e36 Inhambu relogio e tangara princepe e outro.mp3,8,Chiroxiphia pareola,A
122,493146,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/493146/download,XC493146-18-7-2019 6e31 Estalador e inhambu relogio.mp3,7,Corythopis torquatus,A
123,395768,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/395768/download,XC395768-Crypturellus strigulosus_Gurupi_1052.mp3,16,,A
124,377295,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/377295/download,XC377295-Crypturellus_strigulosus_M5_Trasc-2_3km_Faz_Araçatuba_Lambaridoeste_MT.mp3,57,,A
125,377294,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/377294/download,XC377294-Crypturellus_strigulosus_M5_P1_Faz_Araçatuba_Lambaridoeste_MT.mp3,42,,A
126,323748,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/323748/download,XC323748-CRYSTR05.mp3,143,"Lipaugus vociferans, Vireolanius leucotis",A
127,312936,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/312936/download,XC312936-CRYSTR03.mp3,43,,A
128,312931,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/312931/download,XC312931-CRYSTR15.mp3,83,,A
129,303310,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/303310/download,XC303310-Crypturellus strigulosus 4.mp3,61,,A
130,221915,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/221915/download,XC221915-Brazilian Tinamou B 162.mp3,150,,A
131,221914,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/221914/download,XC221914-Brazilian Tinamou A 161.mp3,78,,A
132,217873,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/217873/download,XC217873-CRYSTR04.mp3,101,Lipaugus vociferans,A
133,212971,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/212971/download,XC212971-Crypturellus strigulosus_Pacajas_1493.mp3,34,,A
134,171248,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/171248/download,XC171248-9991229.MP3,111,,A
135,155449,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/155449/download,XC155449-9991362.MP3,180,,A
136,122585,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/122585/download,XC122585-Brazilian Tinamou.mp3,98,,A
137,108671,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/108671/download,Brazilian Tinamou song 9-6-11.mp3,30,"Monasa morphoeus, Epinecrophylla leucophthalma, Thamnomanes saturninus",A
138,85054,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/85054/download,CRYSTR14.mp3,71,,A
139,85053,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/85053/download,CRYSTR11.mp3,127,,A
140,12059,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/12059/download,015-122-Brazilian-Tinamou.mp3,13,,A
141,7951,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/7951/download,"Crypturellus strigulosus (song)_Dois Irmaos, Recife, PE_28.10.06_Glauco.mp3",3,"Troglodytes aedon, Tolmomyias flaviventris",A
142,407249,Crypturellus,duidae,Grey-legged Tinamou,https://www.xeno-canto.org/407249/download,XC407249-Crypturellus duidae_Virua_1071.mp3,25,,A
143,407247,Crypturellus,duidae,Grey-legged Tinamou,https://www.xeno-canto.org/407247/download,XC407247-Crypturellus duidae_Virua_1061.mp3,32,,A
144,402848,Crypturellus,duidae,Grey-legged Tinamou,https://www.xeno-canto.org/402848/download,XC402848-Crypturellus duidae_Caracarai1218.mp3,47,,A
145,264297,Crypturellus,duidae,Grey-legged Tinamou,https://www.xeno-canto.org/264297/download,XC264297-Gray-legged Tinamou.mp3,40,,A
146,502078,Crypturellus,noctivagus,Yellow-legged Tinamou,https://www.xeno-canto.org/502078/download,XC502078-C. noctivagus_mp3.mp3,87,,A
147,440192,Crypturellus,noctivagus,Yellow-legged Tinamou,https://www.xeno-canto.org/440192/download,XC440192-Crypturellus noctivagus - Piraí - Joinville - SC - 17-10-2017 (08-33) ed.mp3,54,,A
148,347780,Crypturellus,noctivagus,Yellow-legged Tinamou,https://www.xeno-canto.org/347780/download,XC347780-Crypturellus_noctivagus_Itanhaem_SP_20_Dec_2016_RSS.mp3,93,,A
149,335281,Crypturellus,noctivagus,Yellow-legged Tinamou,https://www.xeno-canto.org/335281/download,XC335281-Crypturellus noctivagus Itanhaem 09 09 2016 RSS.mp3,4,,A
150,475704,Crypturellus,atrocapillus,Black-capped Tinamou,https://www.xeno-canto.org/475704/download,XC475704-Crypturellus atrocapillus-083.mp3,37,,A
151,474806,Crypturellus,atrocapillus,Black-capped Tinamou,https://www.xeno-canto.org/474806/download,XC474806-Crypturellus atrocapillus_Chandless_1184.mp3,25,,A
152,437373,Crypturellus,atrocapillus,Black-capped Tinamou,https://www.xeno-canto.org/437373/download,"XC437373-180802_08_Black-capped Tinamou_Ramal do Noca, AC, Brazil_1 August 2018.mp3",142,,A
153,151848,Crypturellus,atrocapillus,Black-capped Tinamou,https://www.xeno-canto.org/151848/download,XC151848-Crypturellus atrocapillus_Rio Branco_1118.mp3,60,,A
154,83023,Crypturellus,atrocapillus,Black-capped Tinamou,https://www.xeno-canto.org/83023/download,CRYATR03.mp3,3,,A
155,66595,Crypturellus,atrocapillus,Black-capped Tinamou,https://www.xeno-canto.org/66595/download,CRYATR02.mp3,54,,A
156,494092,Crypturellus,variegatus,Variegated Tinamou,https://www.xeno-canto.org/494092/download,XC494092-3-8-2019 6e54 Inhambu anhanga Arapacu.mp3,15,"Ortalis motmot, Vireo chivi, Dendrocolaptes certhia",A
157,494091,Crypturellus,variegatus,Variegated Tinamou,https://www.xeno-canto.org/494091/download,XC494091-3-8-2019 6e50 INHAMBU ANHANGA1 Arapacu e icognitas.mp3,25,,A
158,456452,Crypturellus,variegatus,Variegated Tinamou,https://www.xeno-canto.org/456452/download,XC456452-Crypturellus variegatus_Maraca_1216.mp3,15,,A
159,171119,Crypturellus,variegatus,Variegated Tinamou,https://www.xeno-canto.org/171119/download,XC171119-Crypturellus variegatus Manaus-AM.mp3,6,,A
160,171047,Crypturellus,variegatus,Variegated Tinamou,https://www.xeno-canto.org/171047/download,XC171047-Crypturellus variegatus Manaus-AM.mp3,6,,A
161,129846,Crypturellus,variegatus,Variegated Tinamou,https://www.xeno-canto.org/129846/download,XC129846-20110919-1741-1086-BR-MT-Cristalino Reserve-Variegated Tinamou.mp3,15,,A
162,129844,Crypturellus,variegatus,Variegated Tinamou,https://www.xeno-canto.org/129844/download,XC129844-20110919-1738-1084-BR-MT-Cristalino Reserve-Variegated Tinamou.mp3,12,,A
163,484096,Crypturellus,bartletti,Bartlett's Tinamou,https://www.xeno-canto.org/484096/download,XC484096-Crypturellus bartletti DCB 606-1.mp3,399,"Formicarius analis, Crypturellus undulatus, Crypturellus atrocapillus",A
164,474810,Crypturellus,bartletti,Bartlett's Tinamou,https://www.xeno-canto.org/474810/download,XC474810-Crypturellus bartletti_Chandless_1185.mp3,60,,A
165,521423,Crypturellus,parvirostris,Small-billed Tinamou,https://www.xeno-canto.org/521423/download,XC521423-13-01-2020 17e25 Inhambu chororo Azulao 13-01-2020 17e25.mp3,4,,A
166,448635,Crypturellus,parvirostris,Small-billed Tinamou,https://www.xeno-canto.org/448635/download,XC448635-Crypturellus parvirostris2.mp3,3,,A
