,index,file_id,genus,species,name,download_url,file_name,duration,other_species_in_recording,quality
40,55,494959,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/494959/download,XC494959-C. obsoletus_mp3.mp3,43,,A
41,56,424637,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/424637/download,XC424637-Crypturellus obsoletus.mp3,50,,A
42,59,348637,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/348637/download,XC348637-Crypturellus obsoletus.mp3,107,"Chamaeza meruloides, Patagioenas plumbea, Basileuterus culicivorus, Saltator similis, Attila rufus, Schiffornis virescens, Tinamus solitarius",A
43,60,344287,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/344287/download,XC344287-Crypturellus obsoletus.mp3,46,Crypturellus tataupa,A
44,62,337077,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/337077/download,XC337077-1191_02.mp3,100,"Schiffornis virescens, Caryothraustes canadensis",A
45,63,337076,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/337076/download,XC337076-1191_01.mp3,59,,A
46,64,288347,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/288347/download,XC288347-CLest4_5_Cobso.mp3,40,,A
47,65,221859,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/221859/download,XC221859-Brown Tinamou A 138.mp3,25,,A
48,66,221858,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/221858/download,XC221858-Brown Tinamou A 135.mp3,53,,A
49,68,217865,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/217865/download,XC217865-CRYOBS29.mp3,41,,A
50,70,189613,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/189613/download,XC189613-Crypturellus obsoletus 1.mp3,95,,A
51,71,189513,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/189513/download,XC189513-LGM-043.mp3,46,"Chiroxiphia caudata, Sporophila frontalis, Herpsilochmus atricapillus, Lepidocolaptes squamatus, Basileuterus culicivorus",A
52,73,171118,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/171118/download,XC171118-Crypturellus_obsoletus_BrunoLima_Guaraú_2013.mp3,41,,A
53,74,164486,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/164486/download,XC164486-C obsoletus canto.mp3,24,,A
54,75,145686,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/145686/download,XC145686-Crypturellus obsoletus-Picinguaba-SP-Brazil-10-91-ASilveira.mp3,22,,A
55,77,115082,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/115082/download,XC115082-inhambuguaçu2.mp3,46,,A
56,78,113190,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/113190/download,XC113190-12112003'.mp3,71,"Myiothlypis leucoblephara, Tinamus solitarius",A
57,79,109180,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/109180/download,Crypturellus-obsoletus-Picinguaba-SP-Brazil-10-91-ASilveira.mp3,22,,A
58,80,85856,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/85856/download,0617_083601_c_obsoletus.mp3,157,,A
59,82,85044,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/85044/download,CRYOBS21.mp3,47,Selenidera maculirostris,A
60,83,85043,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/85043/download,CRYOBS13.mp3,109,"Chiroxiphia caudata, Schiffornis virescens",A
61,84,58529,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/58529/download,Crypturellus obsoletus (PEMG).mp3,21,,A
62,85,45557,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/45557/download,Crypturellus obsoletus_Trilha Tres Picos_PN Itatiaia_Rio de Janeiro_Brasil_22FEB04_Bernabe Lopez-Lanus.mp3,23,,A
63,86,41953,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/41953/download,Crypturelus obsoletus_Poco Verde_PARNA das Araucarias_Passos Maia_SC_22-05-2009 (2).mp3,53,,A
64,87,41872,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/41872/download,Crypturellus obsoletus_Faz. Santa Rita_PNSI_Indaial_SC_22-10-2009.mp3,82,,A
65,88,27557,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/27557/download,Crypturellus_obsoletus_areaF_ME_Teles_Pires.mp3,44,,A
66,90,22521,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/22521/download,Crypturellus obsoletus - PNIBr080215_0702 + B. ruficapillus.mp3,22,Baryphthengus ruficapillus,A
67,91,13034,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/13034/download,Crypturellus obsoletus.mp3,50,"Procnias nudicollis, Tangara seledon, Turdus albicollis, Orthogonys chloricterus",A
68,92,1407,Crypturellus,obsoletus,Brown Tinamou,https://www.xeno-canto.org/1407/download,brtina.mp3,44,,A
69,93,518786,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/518786/download,XC518786-Jao (Crypturellus undulatus-OK) 17-12-2019 7e4.mp3,78,"Cyclarhis gujanensis, Herpsilochmus atricapillus, Xiphorhynchus guttatus",A
70,95,474817,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/474817/download,XC474817-Crypturellus undulatus_Chandless_1092.mp3,59,,A
71,96,461820,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/461820/download,XC461820-Crypturellus undulatus_Maraca_1314.mp3,62,,A
72,97,440942,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/440942/download,XC440942-Jao (Crypturellus undulatus-OK-OK) 27-10-18 17e45.mp3,36,,A
73,98,437663,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/437663/download,XC437663-Jao2 (Crypturellus undulatus-OK)  3-10-18 17e51.mp3,24,Automolus leucophthalmus,A
74,99,437655,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/437655/download,XC437655-Jao1 (Crypturellus undulatus-OK) 3-10-2018 6e20.mp3,28,,A
75,100,416474,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/416474/download,XC416474-Jao3 (Crypturellus undulatus-OK-OK) 20 6e41.mp3,20,Herpsilochmus atricapillus,A
76,103,384421,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/384421/download,XC384421-170820 UNTI 25' PJofre 0830 mp3 amp.mp3,84,,A
77,104,358831,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/358831/download,XC358831-recording-20160802-062507 Jaó.mp3,42,,A
78,105,342846,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/342846/download,XC342846-CRYUND24.mp3,57,,A
79,106,342845,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/342845/download,XC342845-CRYUND20.mp3,57,,A
80,107,314321,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/314321/download,XC314321-Crypturellus undulatus-Vazante-KKS-27-07-2015_06h00.MP3,26,,A
81,108,299039,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/299039/download,XC299039-117 Crypturellus undulatus (song)VerdeMar_RibasPardoMS140912.mp3,48,,A
82,109,221929,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/221929/download,XC221929-Undulated Tinamou A 152.mp3,36,,A
83,110,217872,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/217872/download,XC217872-CRYUND23.mp3,98,,A
84,111,217870,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/217870/download,XC217870-CRYUND08.mp3,98,,A
85,112,217867,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/217867/download,XC217867-CRYUND01.mp3,45,,A
86,113,150263,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/150263/download,XC150263-portojofre_23.09.2013_Crypturellus undulatus.mp3,300,,A
87,114,124623,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/124623/download,XC124623-20110902-1704-1091-BR-MG-Pantanal Wildlife Center-Undulated Tinamou_song.mp3,139,"Patagioenas picazuro, Hemitriccus margaritaceiventer",A
88,115,113465,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/113465/download,XC113465-C undulatus.mp3,49,,A
89,116,85065,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/85065/download,CRYUND19.mp3,48,"Crypturellus parvirostris, Dryocopus lineatus, Campylorhamphus trochilirostris, Hylophilus pectoralis, Cyanocorax cyanomelas",A
90,117,85064,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/85064/download,CRYUND18.mp3,36,Veniliornis passerinus,A
91,118,85063,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/85063/download,CRYUND12.mp3,35,Taraba major,A
92,119,85062,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/85062/download,CRYUND10.mp3,39,,A
93,120,85059,Crypturellus,undulatus,Undulated Tinamou,https://www.xeno-canto.org/85059/download,CRYUND01.mp3,38,,A
94,124,377295,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/377295/download,XC377295-Crypturellus_strigulosus_M5_Trasc-2_3km_Faz_Araçatuba_Lambaridoeste_MT.mp3,57,,A
95,125,377294,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/377294/download,XC377294-Crypturellus_strigulosus_M5_P1_Faz_Araçatuba_Lambaridoeste_MT.mp3,42,,A
96,126,323748,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/323748/download,XC323748-CRYSTR05.mp3,143,"Lipaugus vociferans, Vireolanius leucotis",A
97,127,312936,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/312936/download,XC312936-CRYSTR03.mp3,43,,A
98,128,312931,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/312931/download,XC312931-CRYSTR15.mp3,83,,A
99,129,303310,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/303310/download,XC303310-Crypturellus strigulosus 4.mp3,61,,A
100,130,221915,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/221915/download,XC221915-Brazilian Tinamou B 162.mp3,150,,A
101,131,221914,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/221914/download,XC221914-Brazilian Tinamou A 161.mp3,78,,A
102,132,217873,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/217873/download,XC217873-CRYSTR04.mp3,101,Lipaugus vociferans,A
103,133,212971,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/212971/download,XC212971-Crypturellus strigulosus_Pacajas_1493.mp3,34,,A
104,134,171248,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/171248/download,XC171248-9991229.MP3,111,,A
105,135,155449,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/155449/download,XC155449-9991362.MP3,180,,A
106,136,122585,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/122585/download,XC122585-Brazilian Tinamou.mp3,98,,A
107,137,108671,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/108671/download,Brazilian Tinamou song 9-6-11.mp3,30,"Monasa morphoeus, Epinecrophylla leucophthalma, Thamnomanes saturninus",A
108,138,85054,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/85054/download,CRYSTR14.mp3,71,,A
109,139,85053,Crypturellus,strigulosus,Brazilian Tinamou,https://www.xeno-canto.org/85053/download,CRYSTR11.mp3,127,,A
110,142,407249,Crypturellus,duidae,Grey-legged Tinamou,https://www.xeno-canto.org/407249/download,XC407249-Crypturellus duidae_Virua_1071.mp3,25,,A
111,143,407247,Crypturellus,duidae,Grey-legged Tinamou,https://www.xeno-canto.org/407247/download,XC407247-Crypturellus duidae_Virua_1061.mp3,32,,A
112,144,402848,Crypturellus,duidae,Grey-legged Tinamou,https://www.xeno-canto.org/402848/download,XC402848-Crypturellus duidae_Caracarai1218.mp3,47,,A
113,145,264297,Crypturellus,duidae,Grey-legged Tinamou,https://www.xeno-canto.org/264297/download,XC264297-Gray-legged Tinamou.mp3,40,,A
114,146,502078,Crypturellus,noctivagus,Yellow-legged Tinamou,https://www.xeno-canto.org/502078/download,XC502078-C. noctivagus_mp3.mp3,87,,A
115,147,440192,Crypturellus,noctivagus,Yellow-legged Tinamou,https://www.xeno-canto.org/440192/download,XC440192-Crypturellus noctivagus - Piraí - Joinville - SC - 17-10-2017 (08-33) ed.mp3,54,,A
116,148,347780,Crypturellus,noctivagus,Yellow-legged Tinamou,https://www.xeno-canto.org/347780/download,XC347780-Crypturellus_noctivagus_Itanhaem_SP_20_Dec_2016_RSS.mp3,93,,A
117,150,475704,Crypturellus,atrocapillus,Black-capped Tinamou,https://www.xeno-canto.org/475704/download,XC475704-Crypturellus atrocapillus-083.mp3,37,,A
118,151,474806,Crypturellus,atrocapillus,Black-capped Tinamou,https://www.xeno-canto.org/474806/download,XC474806-Crypturellus atrocapillus_Chandless_1184.mp3,25,,A
119,152,437373,Crypturellus,atrocapillus,Black-capped Tinamou,https://www.xeno-canto.org/437373/download,"XC437373-180802_08_Black-capped Tinamou_Ramal do Noca, AC, Brazil_1 August 2018.mp3",142,,A
120,153,151848,Crypturellus,atrocapillus,Black-capped Tinamou,https://www.xeno-canto.org/151848/download,XC151848-Crypturellus atrocapillus_Rio Branco_1118.mp3,60,,A
121,155,66595,Crypturellus,atrocapillus,Black-capped Tinamou,https://www.xeno-canto.org/66595/download,CRYATR02.mp3,54,,A
122,157,494091,Crypturellus,variegatus,Variegated Tinamou,https://www.xeno-canto.org/494091/download,XC494091-3-8-2019 6e50 INHAMBU ANHANGA1 Arapacu e icognitas.mp3,25,,A
123,163,484096,Crypturellus,bartletti,Bartlett's Tinamou,https://www.xeno-canto.org/484096/download,XC484096-Crypturellus bartletti DCB 606-1.mp3,399,"Formicarius analis, Crypturellus undulatus, Crypturellus atrocapillus",A
124,164,474810,Crypturellus,bartletti,Bartlett's Tinamou,https://www.xeno-canto.org/474810/download,XC474810-Crypturellus bartletti_Chandless_1185.mp3,60,,A
125,167,442163,Crypturellus,parvirostris,Small-billed Tinamou,https://www.xeno-canto.org/442163/download,XC442163-Inhambu chororo 12-11-18 17e57.mp3,20,,A
126,168,415355,Crypturellus,parvirostris,Small-billed Tinamou,https://www.xeno-canto.org/415355/download,XC415355-Inhambu chororo4 (Crypturellus parvirostris-OK).mp3,37,,A
127,170,415352,Crypturellus,parvirostris,Small-billed Tinamou,https://www.xeno-canto.org/415352/download,XC415352-Inhambu chororo1 (Crypturellus parvirostris-OK).mp3,22,Setopagis parvula,A
128,173,23416,Crypturellus,parvirostris,Small-billed Tinamou,https://www.xeno-canto.org/23416/download,Crypturellus parvirostris-PKD227:22.mp3,42,,A
129,175,388096,Crypturellus,tataupa,Tataupa Tinamou,https://www.xeno-canto.org/388096/download,XC388096-170906 TATI2 30ft Wetlands 0600 mp3 amp.mp3,20,,A
130,176,348898,Crypturellus,tataupa,Tataupa Tinamou,https://www.xeno-canto.org/348898/download,XC348898-Crypturellus tataupa.mp3,40,"Turdus albicollis, Turdus rufiventris, Mionectes rufiventris",A
131,177,221922,Crypturellus,tataupa,Tataupa Tinamou,https://www.xeno-canto.org/221922/download,XC221922-Tataupa Tinamou A 228.mp3,57,,A
132,178,143925,Crypturellus,tataupa,Tataupa Tinamou,https://www.xeno-canto.org/143925/download,XC143925-Crypturellus tataupa 1.mp3,36,,A
133,179,77829,Crypturellus,tataupa,Tataupa Tinamou,https://www.xeno-canto.org/77829/download,Crypturellus tataupa (Reginao).mp3,32,,A
134,180,42078,Crypturellus,tataupa,Tataupa Tinamou,https://www.xeno-canto.org/42078/download,Crypturellus tataupa_Vale do Selke Pequeno_Pomerode_SC_06-09-2009.mp3,21,,A
135,181,13712,Crypturellus,tataupa,Tataupa Tinamou,https://www.xeno-canto.org/13712/download,Crypturellus tataupa.mp3,29,"Cacicus haemorrhous, Glaucidium brasilianum",A
136,232,226970,Ortalis,canicollis,Chaco Chachalaca,https://www.xeno-canto.org/226970/download,XC226970-Chaco Chachalaca A 872.mp3,45,,A
137,233,217917,Ortalis,canicollis,Chaco Chachalaca,https://www.xeno-canto.org/217917/download,XC217917-ORTCAN03.mp3,61,,A
138,234,171669,Ortalis,canicollis,Chaco Chachalaca,https://www.xeno-canto.org/171669/download,XC171669-Ortalis canicollis_Pocone_1512.mp3,32,,A
139,235,167631,Ortalis,canicollis,Chaco Chachalaca,https://www.xeno-canto.org/167631/download,XC167631-LS100410 Chaco Chacalaca.mp3,89,,A
140,237,123628,Ortalis,canicollis,Chaco Chachalaca,https://www.xeno-canto.org/123628/download,XC123628-20110901-0600-1022-BR-MG-Pantanal Wildlife Center-Chaco Chachalaca.mp3,66,,A
141,238,123600,Ortalis,canicollis,Chaco Chachalaca,https://www.xeno-canto.org/123600/download,XC123600-20110901-0530-1017-BR-MG-Pantanal Wildlife Center-Chaco Chachalaca_1_filt.mp3,23,,A
142,239,23715,Ortalis,canicollis,Chaco Chachalaca,https://www.xeno-canto.org/23715/download,Ortalis canicollis-PKD225:10.mp3,35,"Myiothlypis flaveola, Ortalis canicollis",A
143,240,513659,Ortalis,guttata,Speckled Chachalaca,https://www.xeno-canto.org/513659/download,XC513659-Ortalis remota 2.mp3,41,,A
144,241,513658,Ortalis,guttata,Speckled Chachalaca,https://www.xeno-canto.org/513658/download,XC513658-Ortalis remota 1.mp3,41,,A
145,242,305925,Ortalis,guttata,Speckled Chachalaca,https://www.xeno-canto.org/305925/download,XC305925-ORTGUT14.mp3,117,"Psarocolius angustifrons, Trogon melanurus",A
146,243,206944,Ortalis,guttata,Speckled Chachalaca,https://www.xeno-canto.org/206944/download,XC206944-Ortalis guttata_Monte Carmelo_1082.mp3,23,,A
147,244,189706,Ortalis,araucuan,East Brazilian Chachalaca,https://www.xeno-canto.org/189706/download,XC189706-o_guttata_virginopolis_1.mp3,23,"Megarynchus pitangua, Myiophobus fasciatus, Todirostrum poliocephalum",A
148,245,83826,Ortalis,araucuan,East Brazilian Chachalaca,https://www.xeno-canto.org/83826/download,Ortalis guttata_Mucuge.mp3,25,,A
149,246,411803,Ortalis,squamata,Scaled Chachalaca,https://www.xeno-canto.org/411803/download,XC411803-Aracua escamoso2 (Ortalis squamata-OK-OK).mp3,33,,A
150,248,298142,Ortalis,squamata,Scaled Chachalaca,https://www.xeno-canto.org/298142/download,XC298142-Ortalis squamata_Floripa_1057.mp3,71,,A
151,249,45600,Ortalis,squamata,Scaled Chachalaca,https://www.xeno-canto.org/45600/download,Cracidae._Ortalis_guttata_PM_Lagoa_do_Peri_Fpolis_11.03.2010_ELXCW.mp3,25,,A
152,252,505430,Ortalis,motmot,Little Chachalaca,https://www.xeno-canto.org/505430/download,XC505430-LS111137 Variable Chacalaca.mp3,64,,A
153,254,494070,Ortalis,motmot,Little Chachalaca,https://www.xeno-canto.org/494070/download,XC494070-2-8-2019 7e25 Aracoa.mp3,33,"Vireo chivi, Trogon viridis, Thraupis palmarum",A
154,255,494068,Ortalis,motmot,Little Chachalaca,https://www.xeno-canto.org/494068/download,XC494068-2-8-2019 6e51 Aracoa.mp3,51,"Vireo chivi, Thraupis episcopus, Ramphocelus carbo",A
155,256,303408,Ortalis,motmot,Little Chachalaca,https://www.xeno-canto.org/303408/download,XC303408-Ortalis motmot_Mocidade_1165.mp3,70,,A
156,257,493617,Ortalis,superciliaris,Buff-browed Chachalaca,https://www.xeno-canto.org/493617/download,XC493617-14-07-‎2019  ‏‎16e1 Aracoa de sombrancelhas.mp3,30,,A
157,259,423061,Ortalis,superciliaris,Buff-browed Chachalaca,https://www.xeno-canto.org/423061/download,XC423061-STE-003  Ortalis superciliaris.mp3,110,,A
158,260,11043,Ortalis,superciliaris,Buff-browed Chachalaca,https://www.xeno-canto.org/11043/download,Ortalis superciliaris_03.mp3,61,Herpsilochmus sellowi,A
159,281,390129,Odontophorus,gujanensis,Marbled Wood Quail,https://www.xeno-canto.org/390129/download,XC390129-Odontophorus gujanensis_PF_1953.mp3,30,,A
160,282,370564,Odontophorus,gujanensis,Marbled Wood Quail,https://www.xeno-canto.org/370564/download,XC370564-uru corcovado.MP3,61,,A
161,283,151927,Odontophorus,gujanensis,Marbled Wood Quail,https://www.xeno-canto.org/151927/download,XC151927-Odontophorus gujanensis_Itaituba_1078.mp3,47,,A
162,284,121157,Odontophorus,gujanensis,Marbled Wood Quail,https://www.xeno-canto.org/121157/download,XC121157-Odontophorus gujanensis_Itaituba_1164.MP3,56,,A
163,285,119854,Odontophorus,gujanensis,Marbled Wood Quail,https://www.xeno-canto.org/119854/download,XC119854-Odontophorus gujanensis_Carajas_1430.MP3,21,Lipaugus vociferans,A
